"Date","Price","Open","High","Low","Change %"
"Dec 16, 2008","138.79","138.61","139.15","136.77","-0.06%"
"Dec 15, 2008","138.87","136.58","139.26","135.20","1.95%"
"Dec 12, 2008","136.22","137.26","138.26","132.54","-1.13%"
"Dec 11, 2008","137.78","136.98","138.71","135.77","0.57%"
"Dec 10, 2008","137.00","135.94","138.44","135.71","0.90%"
"Dec 09, 2008","135.78","138.29","138.50","135.41","-1.97%"
"Dec 08, 2008","138.51","136.88","140.83","136.13","0.98%"
"Dec 05, 2008","137.17","135.38","137.56","133.24","1.49%"
"Dec 04, 2008","135.15","137.77","138.30","134.09","-2.02%"
"Dec 03, 2008","137.94","139.00","139.84","136.26","-0.88%"
"Dec 02, 2008","139.17","138.64","140.98","137.04","0.40%"
"Dec 01, 2008","138.62","146.66","147.11","138.01","-5.74%"
"Nov 28, 2008","147.06","146.88","147.61","145.54","0.10%"
"Nov 27, 2008","146.91","146.37","147.97","145.64","0.07%"
"Nov 26, 2008","146.81","147.25","147.62","144.51","-0.37%"
"Nov 25, 2008","147.36","147.25","148.63","143.69","0.19%"
"Nov 24, 2008","147.08","142.94","147.31","141.03","2.90%"
"Nov 21, 2008","142.94","137.86","143.28","137.67","3.21%"
"Nov 20, 2008","138.50","143.31","143.94","138.11","-3.49%"
"Nov 19, 2008","143.51","144.91","147.93","143.12","-1.03%"
"Nov 18, 2008","145.01","144.68","146.56","143.52","0.29%"
"Nov 17, 2008","144.59","140.49","146.51","140.36","1.27%"
"Nov 14, 2008","142.78","144.94","146.37","140.98","-1.69%"
"Nov 13, 2008","145.24","142.05","145.86","138.86","2.62%"
"Nov 12, 2008","141.53","150.21","151.83","140.92","-5.86%"
"Nov 11, 2008","150.34","152.91","154.31","149.71","-1.76%"
"Nov 10, 2008","153.04","156.92","157.58","152.02","-0.66%"
"Nov 07, 2008","154.05","152.49","156.26","150.25","0.93%"
"Nov 06, 2008","152.63","156.32","157.64","152.46","-2.81%"
"Nov 05, 2008","157.04","159.02","160.89","155.16","-1.57%"
"Nov 04, 2008","159.55","156.71","161.76","153.68","1.61%"
"Nov 03, 2008","157.02","158.53","163.41","155.56","-0.77%"
"Oct 31, 2008","158.24","161.31","162.37","155.44","-2.60%"
"Oct 30, 2008","162.47","159.58","165.12","158.16","1.56%"
"Oct 29, 2008","159.97","157.73","161.26","153.30","1.77%"
"Oct 28, 2008","157.19","144.19","157.50","142.80","9.11%"
"Oct 27, 2008","144.07","145.99","149.76","140.62","-4.07%"
"Oct 24, 2008","150.18","159.82","159.99","139.00","-5.81%"
"Oct 23, 2008","159.44","158.87","160.74","154.50","0.02%"
"Oct 22, 2008","159.41","167.81","168.03","157.68","-4.69%"
"Oct 21, 2008","167.26","175.18","175.63","166.70","-4.52%"
"Oct 20, 2008","175.18","175.99","179.26","173.55","-0.34%"
"Oct 17, 2008","175.77","176.01","176.60","173.89","-0.09%"
"Oct 16, 2008","175.93","170.98","176.30","170.33","2.54%"
"Oct 15, 2008","171.57","177.98","178.76","171.53","-3.55%"
"Oct 14, 2008","177.89","177.51","181.43","176.84","0.31%"
"Oct 13, 2008","177.34","172.75","177.60","168.62","3.36%"
"Oct 10, 2008","171.57","169.94","172.16","165.96","0.91%"
"Oct 09, 2008","170.03","171.20","176.47","169.67","-0.78%"
"Oct 08, 2008","171.37","178.48","178.98","171.09","-3.19%"
"Oct 07, 2008","177.01","176.77","182.06","175.90","0.16%"
"Oct 06, 2008","176.73","185.67","185.76","174.05","-5.27%"
"Oct 03, 2008","186.56","185.82","188.56","184.61","0.32%"
"Oct 02, 2008","185.97","187.41","188.16","184.62","-0.74%"
"Oct 01, 2008","187.36","189.04","189.96","185.91","-0.88%"
"Sep 30, 2008","189.03","187.71","191.03","186.38","0.48%"
"Sep 29, 2008","188.13","195.39","195.54","187.86","-3.79%"
"Sep 26, 2008","195.54","195.64","195.92","193.08","-0.03%"
"Sep 25, 2008","195.60","196.15","197.22","195.17","-0.29%"
"Sep 24, 2008","196.17","195.71","197.51","195.25","0.47%"
"Sep 23, 2008","195.25","195.75","196.66","194.87","-0.31%"
"Sep 22, 2008","195.85","195.99","197.18","194.24","-0.49%"
"Sep 19, 2008","196.82","191.65","197.15","191.29","2.55%"
"Sep 18, 2008","191.92","189.29","192.17","189.05","1.55%"
"Sep 17, 2008","188.99","187.64","192.12","186.78","0.67%"
"Sep 16, 2008","187.73","188.05","190.08","184.43","-0.46%"
"Sep 15, 2008","188.59","191.17","192.16","187.21","-2.66%"
"Sep 12, 2008","193.74","188.42","193.80","187.56","2.80%"
"Sep 11, 2008","188.47","188.59","188.97","185.86","-0.05%"
"Sep 10, 2008","188.56","187.99","190.18","187.13","0.18%"
"Sep 09, 2008","188.22","190.16","191.03","187.64","-1.07%"
"Sep 08, 2008","190.25","194.70","195.69","188.43","-0.04%"
"Sep 05, 2008","190.32","187.12","190.38","186.13","1.86%"
"Sep 04, 2008","186.84","192.04","193.68","186.60","-2.82%"
"Sep 03, 2008","192.27","193.61","194.12","191.87","-0.73%"
"Sep 02, 2008","193.69","194.54","194.94","192.61","-0.44%"
"Sep 01, 2008","194.55","196.33","196.95","194.09","-1.84%"
"Aug 29, 2008","198.19","200.10","200.40","197.57","-0.98%"
"Aug 28, 2008","200.16","200.93","201.17","199.72","-0.45%"
"Aug 27, 2008","201.06","201.41","202.30","200.45","-0.31%"
"Aug 26, 2008","201.69","202.50","202.90","200.68","-0.46%"
"Aug 25, 2008","202.62","203.60","203.84","202.29","-0.58%"
"Aug 22, 2008","203.81","203.65","204.68","202.68","0.07%"
"Aug 21, 2008","203.67","204.39","204.68","201.73","-0.37%"
"Aug 20, 2008","204.43","204.77","205.16","204.06","-0.25%"
"Aug 19, 2008","204.94","205.09","205.45","203.82","-0.19%"
"Aug 18, 2008","205.33","205.96","206.27","205.00","-0.42%"
"Aug 15, 2008","206.20","205.09","206.57","204.32","0.54%"
"Aug 14, 2008","205.09","204.61","205.93","203.39","0.18%"
"Aug 13, 2008","204.72","206.98","207.40","202.45","-1.20%"
"Aug 12, 2008","207.20","210.28","210.67","207.05","-1.47%"
"Aug 11, 2008","210.30","211.06","211.58","209.64","-0.60%"
"Aug 08, 2008","211.58","212.45","212.75","210.78","-0.48%"
"Aug 07, 2008","212.61","213.48","213.76","212.35","-0.50%"
"Aug 06, 2008","213.68","211.43","214.01","211.36","0.97%"
"Aug 05, 2008","211.63","212.18","212.43","210.53","-0.30%"
"Aug 04, 2008","212.27","212.63","212.95","212.01","-0.22%"
"Aug 01, 2008","212.73","213.84","214.04","211.95","-0.58%"
"Jul 31, 2008","213.97","214.21","214.63","213.29","-0.16%"
"Jul 30, 2008","214.32","214.08","214.47","213.19","0.15%"
"Jul 29, 2008","213.99","214.29","214.87","213.65","-0.14%"
"Jul 28, 2008","214.29","214.70","214.93","213.62","-0.21%"
"Jul 25, 2008","214.75","213.23","214.95","211.54","0.66%"
"Jul 24, 2008","213.34","215.55","215.72","212.71","-1.10%"
"Jul 23, 2008","215.72","213.53","215.94","213.39","0.95%"
"Jul 22, 2008","213.69","213.13","213.88","212.78","0.23%"
"Jul 21, 2008","213.20","213.43","213.89","212.06","-0.26%"
"Jul 18, 2008","213.75","212.36","213.89","211.52","0.45%"
"Jul 17, 2008","212.79","209.91","213.71","209.60","1.31%"
"Jul 16, 2008","210.03","209.76","210.33","207.94","0.04%"
"Jul 15, 2008","209.94","211.79","212.06","208.86","-0.79%"
"Jul 14, 2008","211.62","211.26","212.34","210.98","0.09%"
"Jul 11, 2008","211.44","211.69","212.20","210.17","-0.17%"
"Jul 10, 2008","211.79","211.79","212.23","211.07","0.03%"
"Jul 09, 2008","211.73","211.56","212.37","210.96","0.08%"
"Jul 08, 2008","211.57","211.66","211.88","210.16","-0.08%"
"Jul 07, 2008","211.73","211.68","212.48","210.90","-0.06%"
"Jul 04, 2008","211.85","211.70","212.10","211.18","0.09%"
"Jul 03, 2008","211.66","210.92","211.97","210.53","0.32%"
"Jul 02, 2008","210.99","211.49","212.09","210.76","-0.28%"
"Jul 01, 2008","211.59","211.47","211.98","209.97","0.06%"
"Jun 30, 2008","211.46","211.73","212.36","209.35","-0.09%"
"Jun 27, 2008","211.66","212.41","213.03","210.52","-0.34%"
"Jun 26, 2008","212.38","212.90","213.96","211.87","-0.28%"
"Jun 25, 2008","212.98","212.44","213.36","212.09","0.20%"
"Jun 24, 2008","212.56","211.90","212.91","211.58","0.32%"
"Jun 23, 2008","211.89","211.69","212.24","211.03","-0.03%"
"Jun 20, 2008","211.96","212.87","213.16","211.67","-0.48%"
"Jun 19, 2008","212.99","211.14","213.34","210.75","0.80%"
"Jun 18, 2008","211.30","211.18","211.55","210.38","0.03%"
"Jun 17, 2008","211.23","212.38","212.73","210.57","-0.58%"
"Jun 16, 2008","212.47","210.41","212.87","210.30","0.91%"
"Jun 13, 2008","210.56","209.89","210.92","209.64","0.26%"
"Jun 12, 2008","210.02","209.71","210.35","209.43","0.10%"
"Jun 11, 2008","209.81","209.77","210.67","209.34","-0.06%"
"Jun 10, 2008","209.94","209.83","210.81","208.53","-0.05%"
"Jun 09, 2008","210.04","205.81","210.15","205.73","1.61%"
"Jun 06, 2008","206.71","207.37","208.11","206.61","-0.39%"
"Jun 05, 2008","207.52","205.64","207.58","205.47","0.85%"
"Jun 04, 2008","205.78","206.31","206.67","204.42","-0.26%"
"Jun 03, 2008","206.32","205.20","207.18","203.92","0.39%"
"Jun 02, 2008","205.51","208.14","208.37","204.57","-1.75%"
"May 30, 2008","209.18","208.54","209.39","207.64","0.24%"
"May 29, 2008","208.67","207.25","209.00","206.74","0.71%"
"May 28, 2008","207.20","205.89","207.74","205.14","0.57%"
"May 27, 2008","206.02","204.80","206.22","204.63","0.53%"
"May 26, 2008","204.94","204.61","205.20","204.20","0.19%"
"May 23, 2008","204.56","206.13","206.29","204.08","-0.77%"
"May 22, 2008","206.14","203.07","206.58","202.64","1.49%"
"May 21, 2008","203.11","203.93","204.02","202.54","-0.42%"
"May 20, 2008","203.97","203.22","204.88","202.65","0.32%"
"May 19, 2008","203.32","203.43","204.13","202.87","-0.13%"
"May 16, 2008","203.58","203.93","204.45","202.55","-0.20%"
"May 15, 2008","203.98","204.49","204.89","203.02","-0.28%"
"May 14, 2008","204.55","203.62","205.00","203.31","0.30%"
"May 13, 2008","203.93","203.14","204.21","201.47","0.37%"
"May 12, 2008","203.18","200.86","203.78","200.13","1.12%"
"May 09, 2008","200.92","202.78","203.31","199.72","-0.94%"
"May 08, 2008","202.82","204.57","204.77","202.32","-0.77%"
"May 07, 2008","204.40","206.66","206.95","204.16","-1.12%"
"May 06, 2008","206.71","206.97","207.22","205.47","-0.11%"
"May 05, 2008","206.93","207.66","208.35","206.42","-0.34%"
"May 02, 2008","207.63","206.26","209.06","206.20","0.63%"
"May 01, 2008","206.32","206.64","207.19","204.77","-0.05%"
"Apr 30, 2008","206.42","204.93","207.95","203.61","0.73%"
"Apr 29, 2008","204.92","207.45","207.66","203.39","-1.15%"
"Apr 28, 2008","207.30","207.20","208.68","206.72","-0.01%"
"Apr 25, 2008","207.32","205.71","207.70","205.37","0.76%"
"Apr 24, 2008","205.75","204.64","206.18","204.10","0.56%"
"Apr 23, 2008","204.60","205.22","206.10","204.06","-0.41%"
"Apr 22, 2008","205.44","204.36","206.13","203.30","0.46%"
"Apr 21, 2008","204.49","207.26","208.15","203.87","-1.23%"
"Apr 18, 2008","207.04","204.00","209.05","203.50","1.39%"
"Apr 17, 2008","204.20","200.78","204.45","200.47","1.66%"
